Country,Year,Energy_Consumption
Total North America,2010.0,9.68093420797959
Argentina,2010.0,0.3707420437131077
Brazil,2010.0,5.028870232403278
Chile,2010.0,0.2598891369998455
Colombia,2010.0,0.43726587016135454
Ecuador,2010.0,0.08914489675953519
Peru,2010.0,0.21625963354017586
Trinidad & Tobago,2010.0,4.404510764288716e-05
Venezuela,2010.0,0.766015553044781
Central America,2010.0,0.2793461763940286
Other Caribbean,2010.0,0.0448547471253562
Other South America,2010.0,0.681832275753095
Total S. & Cent. America,2010.0,8.1742646110022
Austria,2010.0,0.4752316994126886
Belgium,2010.0,0.08784715016372502
Bulgaria,2010.0,0.0583013747818768
Croatia,2010.0,0.09296054381411523
Cyprus,2010.0,0.0013739169808104634
Czech Republic,2010.0,0.07200325676240027
Denmark,2010.0,0.13225150817379472
Estonia,2010.0,0.011885150728630833
Finland,2010.0,0.26341560669243336
France,2010.0,0.8871211260557175
Germany,2010.0,1.2177386097609997
Greece,2010.0,0.1107829655520618
Hungary,2010.0,0.04082050209399313
Iceland,2010.0,0.1686362773180008
Ireland,2010.0,0.041519169812090695
Italy,2010.0,0.8381340897176415
Latvia,2010.0,0.03754559808294289
Lithuania,2010.0,0.011195066850632429
Luxembourg,2010.0,0.004510841012233868
Netherlands,2010.0,0.13217789097689092
North Macedonia,2010.0,0.024309330185786848
Norway,2010.0,1.1842232192575466
Poland,2010.0,0.14499341929331422
Portugal,2010.0,0.30086402874439955
Romania,2010.0,0.2077943761833012
Slovakia,2010.0,0.06437994446605444
Slovenia,2010.0,0.049686848564306274
Spain,2010.0,1.051078150048852
Sweden,2010.0,0.8609977718442678
Switzerland,2010.0,0.37668487381961313
Turkey,2010.0,0.557201801915653
Ukraine,2010.0,0.1340759766753763
United Kingdom,2010.0,0.3279256271198392
Other Europe,2010.0,0.4058487871602665
Total Europe,2010.0,10.375516500022258
Azerbaijan,2010.0,0.03444071529338544
Belarus,2010.0,0.00283095843042247
Kazakhstan,2010.0,0.08015672862529755
Russia,2010.0,1.6687781969085336
Turkmenistan,2010.0,3.310876923023898e-05
USSR,2010.0,0.0
Uzbekistan,2010.0,0.0818561539053917
Other CIS,2010.0,0.3062551781389402
Total CIS,2010.0,2.174351040071201
Iran,2010.0,0.10425171907991171
Iraq,2010.0,0.03612210229039192
Israel,2010.0,0.0021963660256005824
Kuwait,2010.0,0.0
Oman,2010.0,0.0
Qatar,2010.0,0.0
Saudi Arabia,2010.0,4.0857630665414035e-05
United Arab Emirates,2010.0,0.0001840941549744457
Other Middle East,2010.0,0.0350966088617497
Total Middle East,2010.0,0.17789174804329377
Algeria,2010.0,0.001819558470742777
Egypt,2010.0,0.14377453364431858
Morocco,2010.0,0.04123434331268072
South Africa,2010.0,0.017160120711196214
Eastern Africa,2010.0,0.57276934704214
Middle Africa,2010.0,0.16899988182219516
Western Africa,2010.0,0.1729643689185565
Other Northern Africa,2010.0,0.0019594964271618664
Other Southern Africa,2010.0,0.02246893389383331
Total Africa,2010.0,1.1431505842428251
Australia,2010.0,0.23426374746486545
Bangladesh,2010.0,0.007784669811371714
China,2010.0,7.9659564308822155
China Hong Kong SAR,2010.0,0.0006222387310117483
India,2010.0,1.4517727788770571
Indonesia,2010.0,0.2720679803751409
Japan,2010.0,1.217082213901449
Malaysia,2010.0,0.07825843546015676
New Zealand,2010.0,0.3284509311852162
Pakistan,2010.0,0.2979972953326069
Philippines,2010.0,0.1825271367561072
Singapore,2010.0,0.006778419949114323
South Korea,2010.0,0.07242102269083261
Sri Lanka,2010.0,0.05737760430201888
Taiwan,2010.0,0.07489972951680102
Thailand,2010.0,0.12081447150558233
Vietnam,2010.0,0.2861155552091077
Other Asia Pacific,2010.0,0.4174192808680459
Total Asia Pacific,2010.0,13.072609942818701
Total World,2010.0,44.79871863418007
of which: OECD,2010.0,21.77244440067443
                 Non-OECD,2010.0,23.02627423350564
                 European Union #,2010.0,7.196617401187268
Canada,2011.0,4.016038751229644
Mexico,2011.0,0.4594343458302319
United States,2011.0,6.38787192851305
Total North America,2011.0,10.863345025572926
Argentina,2011.0,0.3571942232083529
Brazil,2011.0,5.212773256003857
Chile,2011.0,0.2566218934953213
Colombia,2011.0,0.5215448238886893
Ecuador,2011.0,0.11387683157954598
Peru,2011.0,0.23056808905676007
Trinidad & Tobago,2011.0,4.377653749543242e-05
Venezuela,2011.0,0.825852067418964
Central America,2011.0,0.27855951321544126
Other Caribbean,2011.0,0.04781700798179145
Other South America,2011.0,0.6959512788948814
Total S. & Cent. America,2011.0,8.5408027612811
Austria,2011.0,0.4318950013257563
Belgium,2011.0,0.10476360807660967
Bulgaria,2011.0,0.03941500431392342
Croatia,2011.0,0.05273779902199749
Cyprus,2011.0,0.0025149064022116363
Czech Republic,2011.0,0.08872204599902034
Denmark,2011.0,0.15306094339757692
Estonia,2011.0,0.013140137913069339
Finland,2011.0,0.26537955505773425
France,2011.0,0.7489422261714935
Germany,2011.0,1.4115412645041943
Greece,2011.0,0.0855263234116137
Hungary,2011.0,0.03642885899171233
Iceland,2011.0,0.1690170969650353
Ireland,2011.0,0.05823205492924899
Italy,2011.0,0.8949642172083259
Latvia,2011.0,0.031781968544237316
Lithuania,2011.0,0.01317048873170279
Luxembourg,2011.0,0.004489551589358598
Netherlands,2011.0,0.14702280971687287
North Macedonia,2011.0,0.014255058725211711
Norway,2011.0,1.2160711864707991
Poland,2011.0,0.17070030700415373
Portugal,2011.0,0.2568116430193186
Romania,2011.0,0.17011812259443104
Slovakia,2011.0,0.0557325886329636
Slovenia,2011.0,0.040419003285933286
Spain,2011.0,0.9577581584453583
Sweden,2011.0,0.8762219920754433
Switzerland,2011.0,0.3404113406795659
Turkey,2011.0,0.577939547249116
Ukraine,2011.0,0.11141257570125163
United Kingdom,2011.0,0.41485614608973265
Other Europe,2011.0,0.2681235739182739
Total Europe,2011.0,10.223577106163248
Azerbaijan,2011.0,0.0265737883746624
Belarus,2011.0,0.002695567032787949
Kazakhstan,2011.0,0.07829197452792869
Russia,2011.0,1.6247715721838176
Turkmenistan,2011.0,3.585892227420118e-05
USSR,2011.0,0.0
Uzbekistan,2011.0,0.0568191260099411
Other CIS,2011.0,0.331405330342875
Total CIS,2011.0,2.120593217394287
Iran,2011.0,0.10846965783275664
Iraq,2011.0,0.033761054277420044
Israel,2011.0,0.0035833114525303245
Kuwait,2011.0,0.0
Oman,2011.0,0.0
Qatar,2011.0,0.00012050924124196172
Saudi Arabia,2011.0,5.3548796131508425e-05
United Arab Emirates,2011.0,0.00020553522335831076
Other Middle East,2011.0,0.04135914835660515
Total Middle East,2011.0,0.18755276518004393
Algeria,2011.0,0.003933917265385389
Egypt,2011.0,0.1462799236178398
Morocco,2011.0,0.026791291777044535
South Africa,2011.0,0.03801046102307737
Eastern Africa,2011.0,0.5868392991842484
Middle Africa,2011.0,0.17096080891751342
Western Africa,2011.0,0.1743262668023391
Other Northern Africa,2011.0,0.0017093679830395558
Other Southern Africa,2011.0,0.025236942266928963
Total Africa,2011.0,1.1740882788374165
Australia,2011.0,0.3191766934469342
Bangladesh,2011.0,0.00994856224860996
China,2011.0,7.991044498980045
China Hong Kong SAR,2011.0,0.001632672967389226
India,2011.0,1.762491554254666
Indonesia,2011.0,0.22682933416217566
Japan,2011.0,1.1627419524011202
Malaysia,2011.0,0.09867881110403687
New Zealand,2011.0,0.33664172470162157
Pakistan,2011.0,0.30410440792911686
Philippines,2011.0,0.20202658232301474
Singapore,2011.0,0.007003357168287039
South Korea,2011.0,0.0891797486692667
Sri Lanka,2011.0,0.046883228002116084
Taiwan,2011.0,0.07811715604566416
Thailand,2011.0,0.15584517642855644
Vietnam,2011.0,0.40903521433938295
Other Asia Pacific,2011.0,0.475039289478957
Total Asia Pacific,2011.0,13.676419964650961
Total World,2011.0,46.78637911907998
of which: OECD,2011.0,23.206666989790392
                 Non-OECD,2011.0,23.57971212928959
                 European Union #,2011.0,7.111633562240968
Canada,2012.0,4.078236989676952
Mexico,2012.0,0.4296499318443239
United States,2012.0,6.209566742181778
Total North America,2012.0,10.717453663703054
Argentina,2012.0,0.34574093855917454
Brazil,2012.0,5.092578195035458
Chile,2012.0,0.27181147038936615
Colombia,2012.0,0.5133811663836241
Ecuador,2012.0,0.12434232934901956
Peru,2012.0,0.239420210942626
Trinidad & Tobago,2012.0,6.147638487163931e-05
Venezuela,2012.0,0.8068604153631895
Central America,2012.0,0.3032245025387965
Other Caribbean,2012.0,0.053771727001567626
Other South America,2012.0,0.7084825488655042
Total S. & Cent. America,2012.0,8.459674980813197
Austria,2012.0,0.5335113354958594
Belgium,2012.0,0.12692826357670128
Bulgaria,2012.0,0.055375731782987714
Croatia,2012.0,0.05327759759165929
Cyprus,2012.0,0.0032838869956322014
Czech Republic,2012.0,0.09658524743281305
Denmark,2012.0,0.1625758162845159
Estonia,2012.0,0.016365768649848178
Finland,2012.0,0.3077012284193188
France,2012.0,0.9415786433964968
Germany,2012.0,1.6115689054131508
Greece,2012.0,0.10564928269013762
Hungary,2012.0,0.03524892497807741
Iceland,2012.0,0.17112516631050312
Ireland,2012.0,0.05611886002589017
Italy,2012.0,0.9913124584127218
Latvia,2012.0,0.04179729550378397
Lithuania,2012.0,0.014559164788806811
Luxembourg,2012.0,0.005155094517249381
Netherlands,2012.0,0.14947243395727128
North Macedonia,2012.0,0.010313143842722639
Norway,2012.0,1.42363926343387
Poland,2012.0,0.21443515177816153
Portugal,2012.0,0.20758741535246372
Romania,2012.0,0.15495330817066133
Slovakia,2012.0,0.05949400836834684
Slovenia,2012.0,0.04530261596664786
Spain,2012.0,0.9840208245441318
Sweden,2012.0,1.0095229195430875
Switzerland,2012.0,0.4029214922702522
Turkey,2012.0,0.6474244410637766
Ukraine,2012.0,0.11110894568264484
United Kingdom,2012.0,0.468361496925354
Other Europe,2012.0,0.273522707918346
Total Europe,2012.0,11.491798841083892
Azerbaijan,2012.0,0.017975032329559326
Belarus,2012.0,0.0030826692818664014
Kazakhstan,2012.0,0.07541371562183485
Russia,2012.0,1.6183998323976994
Turkmenistan,2012.0,4.082071154698497e-05
USSR,2012.0,0.0
Uzbekistan,2012.0,0.06272981315851212
Other CIS,2012.0,0.3326439566335466
